name,country_name,population,governor,area,coordinates
Algiers,Algeria,3915811.0,Abdelkader Seyouda (since 2019),363.0,36.75389°N 3.05889°E
Luanda,Angola,2571861.0,,116.0,8.83833°S 13.23444°E
Porto-Novo,Benin,264320.0,Emmanuel Zossou,110.0,6.49722°N 2.60500°E
Gaborone,Botswana,231626.0,Thata Father Maphongo (BDP),169.0,24.65806°S 25.91222°E
Ouagadougou,Burkina Faso,2453496.0,Armand Béouindé (since 2016),520.0,12.367°N 1.533°W
Gitega,Burundi,135467.0,,22.0,3.433°S 29.900°E
Yaoundé,Cameroon,2765600.0,,180.0,3.867°N 11.517°E
Praia,Cape Verde,159050.0,,102.6,14.918°N 23.509°W
Bangui,Central African Republic,889231.0,Emile Raymond Gros Nakombo (2016–present),67.0,4.37333°N 18.56278°E
N'Djamena,Chad,916000.0,,104.0,12.11000°N 15.05000°E
"Moroni, Comoros",Comoros,111326.0,,30.0,11.699°S 43.256°E
Kinshasa,Democratic Republic of the Congo,17071000.0,Gentiny Ngobila Mbala,9965.0,4.32500°S 15.32222°E
Brazzaville,Republic of the Congo,1696392.0,Dieudonné Bantsimba,263.9,4.26778°S 15.29194°E
Djibouti (city),Djibouti,600000.0,Fatouma Awaleh Osman,26.0,11.58833°N 43.14500°E
Cairo,Egypt,1539673.0,Khaled Abdel Aal,3085.12,30.033°N 31.233°E
Malabo,Equatorial Guinea,297000.0,,21.0,3.7520639°N 8.7737000°E
Asmara,Eritrea,963000.0,Fshaye Haile,45.0,15.32278°N 38.92500°E
Mbabane,Eswatini,94874.0,Sikhumbuzo Dube,81.76,26.317°S 31.133°E
Addis Ababa,Ethiopia,3384569.0,Adanech Abebe,527.0,9.03000°N 38.74000°E
Libreville,Gabon,703904.0,,65.42,0.39028°N 9.45417°E
Banjul,The Gambia,73000.0,Rohey Malick Lowe,12.0,13.45306°N 16.57750°W
Accra,Ghana,5055900.0,,173.0,5.550°N 0.200°W
Conakry,Guinea,1660973.0,,450.0,9.50917°N 13.71222°W
Bissau,Guinea-Bissau,492004.0,,77.5,11.850°N 15.567°W
Yamoussoukro,Ivory Coast,361893.0,Augustin Abdoulaye Thiam Houphouët,3500.0,6.81611°N 5.27417°W
Nairobi,Kenya,4397073.0,Anne Kananu Mwenda,696.0,1.28639°S 36.81722°E
Maseru,Lesotho,330760.0,,138.0,29.31°S 27.48°E
Monrovia,Liberia,1010970.0,Jefferson T. Koijee,75.0,6.31333°N 10.80139°W
Tripoli,Libya,1170000.0,Abdulrauf Beitelmal,1507.0,32.88722°N 13.19139°E
Antananarivo,Madagascar,1275207.0,Naina Andriantsitohaina,85.01,18.933°S 47.517°E
Lilongwe,Malawi,989318.0,Juliana Kaduya,727.79,13.983°S 33.783°E
Bamako,Mali,2713000.0,,245.0,12.63917°N 8.00278°W
Nouakchott,Mauritania,1195600.0,,1000.0,18.08581°N 15.9785°W
Port Louis,Mauritius,147066.0,Daniel Eric Clive Laurent,46.7,20.16444°S 57.50417°E
Rabat,Morocco,577827.0,Asmaa Rhlalou,117.0,34.033°N 6.833°W
Maputo,Mozambique,1088449.0,Iolanda Cintura,347.69,25.967°S 32.583°E
Windhoek,Namibia,431000.0,Job Amupanda (AR),5133.0,22.57000°S 17.08361°E
Niamey,Niger,1026848.0,Assane Seydou Sanda,239.3,13.51167°N 2.12528°E
Abuja,Nigeria,1235880.0,,1769.0,9.067°N 7.483°E
Kigali,Rwanda,1132686.0,Pudence Rubingisa,730.0,1.94389°S 30.05944°E
São Tomé,Sao Tome and Principe,71868.0,,17.0,0.33611°N 6.73056°E
Dakar,Senegal,1146052.0,Soham El Wardini (2018) (BSS/PS),83.0,14.69278°N 17.44667°W
"Victoria, Seychelles",Seychelles,26450.0,David André,20.1,4.617°S 55.450°E
Freetown,Sierra Leone,1055964.0,Yvonne Aki-Sawyerr (APC),81.48,8.48444°N 13.23444°W
Mogadishu,Somalia,5488000.0,Omar M. Finnish,,2.033°N 45.333°E
Pretoria,South Africa,2472612.0,Randall Williams (DA),687.54,25.74611°S 28.18806°E
Juba,South Sudan,525953.0,Stephen Wani Michael,52.0,4.850°N 31.600°E
Khartoum,Sudan,639598.0,,1010.0,15.50056°N 32.56000°E
Dodoma,Tanzania,2245800.0,Davis G. Mwamfupe,2576.0,6.17306°S 35.74194°E
Lomé,Togo,837437.0,Aouissi Lodé,99.14,6.13194°N 1.22278°E
Tunis,Tunisia,638845.0,Souad Abderrahim (Ennahda),212.63,36.80639°N 10.18167°E
Kampala,Uganda,1680600.0,Erias Lukwago,189.0,0.31361°N 32.58111°E
Lusaka,Zambia,1747152.0,Miles Sampa,418.0,15.417°S 28.283°E
