name,continent,capital,president,calling_code,driving_side,gov_type,population,area,water_percentage,gdp_pp,gdp_nominal,gini_index,hdi,legislature
People's Democratic Republic of Algeria,Africa,Algiers,Abdelmadjid Tebboune,+213,r,Unitary semi-presidential constitutional republic,44700000.0,2381741.0,1.1,532565000000.00006,163512000000000.0,27.6,0.748,Parliament
Republic of Angola,Africa,Luanda,João Lourenço,+244,r,Unitary dominant-party presidential constitutional republic,31127674.0,1246700.0,0.0,213034000000.0,64480000000.00001,51.3,0.581,National Assembly
Republic of Benin,Africa,Porto-Novo,Patrice Talon,+229,r,Unitary presidential republic,11733059.0,114763.0,0.4,29918000000.0,11386000000.0,47.8,0.545,National Assembly
Republic of Botswana,Africa,Gaborone,Mokgweetsi Masisi,+267,l,Unitary dominant-party parliamentary constitutional republic,2254068.0,581730.0,2.7,43389000000.0,18726000000.0,53.3,0.735,National Assembly
Burkina Faso,Africa,Ouagadougou,Roch Marc Christian Kaboré,+226,r,Unitary semi-presidential constitutional republic,21510181.0,274200.0,0.146,45339000000.0,16226000000.0,38.9,0.452,National Assembly
Republic of Burundi,Africa,Gitega,Évariste Ndayishimiye,+257,r,Unitary dominant-party presidential constitutional republic,11865821.0,27834.0,10.0,8380000000.000001,3573000000.0,39.2,0.433,Parliament
Republic of Cameroon,Africa,Yaoundé,Paul Biya,+237,r,Unitary dominant-party semi-presidential constitutional republic,26545864.0,475442.0,0.57,101950000000.0,44893000000.0,46.6,0.563,Parliament
Republic of Cabo Verde,Africa,Praia,José Maria Neves,+238,r,Unitary semi-presidential republic,483628.0,4033.0,0.0,4323000000.0,2041999999.9999998,42.4,0.665,National Assembly
Central African Republic,Africa,Bangui,Faustin-Archange Touadéra,+236,r,Unitary semi-presidential constitutional republic,4666368.0,622984.0,0.0,4261999999.9999995,2321000000.0,56.3,0.397,National Assembly
Republic of Chad,Africa,N'Djamena,Mahamat Déby,+235,r,Unitary provisional government under a military junta,16244513.0,1284000.0,1.9,30000000000.0,11000000000.0,43.3,0.398,Transitional Military Council
Union of the Comoros,Africa,"Moroni, Comoros",Azali Assoumani,+269,r,Federal presidential republic,850886.0,1861.0,0.0,2446000000.0,1179000000.0,45.0,0.554,Assembly of the Union
Democratic Republic of the Congo,Africa,Kinshasa,Félix Tshisekedi,+243,r,Unitary semi-presidential constitutional republic,92377393.0,2345409.0,3.32,77486000000.0,46117000000.0,42.1,0.48,Parliament
Republic of the Congo,Africa,Brazzaville,Denis Sassou Nguesso,+242,r,Unitary dominant-party semi-presidential republic,5244359.0,342000.0,3.3,32516000000.0,11162000000.0,40.2,0.574,Parliament
Republic of Djibouti,Africa,Djibouti (city),Ismaïl Omar Guelleh,+253,r,Unitary dominant-party presidential republic,921804.0,23200.0,0.09,3974000000.0,2187000000.0,41.6,0.524,National Assembly
Arab Republic of Egypt,Africa,Cairo,Abdel Fattah el-Sisi,+20,r,Unitary semi-presidentialrepublic,101478581.0,1010408.0,0.632,1391000000000.0,362000000000.0,31.5,0.707,Parliament
Republic of Equatorial Guinea,Africa,Malabo,Teodoro Obiang Nguema Mbasogo,+240,r,Unitary de facto one-party presidential republic,1454789.0,28050.0,0.0,29162000000.0,12432000000.0,,0.592,Parliament
State of Eritrea,Africa,Asmara,Isaias Afwerki,+291,r,Unitary one-party presidential republic under a totalitarian dictatorship,3.6,117600.0,0.14,11010000000.0,8090000000.0,,0.459,National Assembly
Kingdom of Eswatini,Africa,Mbabane,Cleopas Dlamini,+268,l,Unitary absolute monarchy,1160164.0,17364.0,0.9,10463000000.0,4211000000.0000005,54.6,0.611,Parliament
Federal Democratic Republic of Ethiopia,Africa,Addis Ababa,Sahle-Work Zewde,+251,r,Ethnofederalist (federal)  parliamentary constitutional republic,117876227.0,1104300.0,0.7,278000000000.0,91514000000.0,35.0,0.485,Federal Parliamentary Assembly
Gabonese Republic,Africa,Libreville,Ali Bongo Ondimba,+241,r,Unitary dominant-party presidential republic,2119275.0,267667.0,3.76,38280000000.0,17212000000.0,38.0,0.703,Parliament
Republic of The Gambia,Africa,Banjul,Adama Barrow,+220,r,Unitary presidential republic,2173999.0,10689.0,11.5,5420000000.0,1810000000.0,35.9,0.496,National Assembly
Republic of Ghana,Africa,Accra,Nana Akufo-Addo,+233,r,Unitary presidentialconstitutional republic,31072940.0,239567.0,4.61,226000000000.0,73594000000.0,43.5,0.611,Parliament
Republic of Guinea,Africa,Conakry,Mamady Doumbouya,+224,r,Unitary provisional government under a military junta,12414293.0,245857.0,0.0,26451000000.0,9183000000.0,33.7,0.477,National Assembly
Republic of Guinea-Bissau,Africa,Bissau,Umaro Sissoco Embaló,+245,r,Unitary semi-presidential republic,1726000.0,36125.0,22.4,3391000000.0,1480000000.0,50.7,0.48,National People's Assembly
Republic of Côte d'Ivoire,Africa,Yamoussoukro,Alassane Ouattara,+225,r,Unitary presidential constitutional republic,26378274.0,322463.0,1.4,144497000000.0,61502000000.0,41.5,0.538,Parliament of Ivory Coast
Republic of Kenya,Africa,Nairobi,Uhuru Kenyatta,+254,l,Unitary presidential constitutional republic,54985698.0,580367.0,2.3,250854000000.0,109116000000.0,40.8,0.601,Parliament
Kingdom of Lesotho,Africa,Maseru,Letsie III of Lesotho,+266,l,Unitary parliamentary constitutional monarchy,2108328.0,30355.0,0.0032,7448000000.0,2721000000.0,44.9,0.527,Parliament
Republic of Liberia,Africa,Monrovia,George Weah,+231,r,Unitary presidential constitutional republic,5214030.0,111369.0,13.514,6468000000.0,3221000000.0,35.3,0.48,Legislature of Liberia
State of Libya,Africa,Tripoli,Mohamed al-Menfi,+218,r,Unitary provisional unity government,6992701.0,1759541.0,,31531000000.0,21805000000.0,,0.724,House of Representatives
Republic of Madagascar,Africa,Antananarivo,Andry Rajoelina,+261,r,Unitary semi-presidential constitutional republic,28427328.0,587041.0,5.0,45948000000.0,12734000000.0,42.6,0.528,Parliament
Republic of Malawi,Africa,Lilongwe,Lazarus McCarthy Chakwera,+265,l,Unitary presidential republic,19129952.0,118484.0,20.6,25037000000.0,7436000000.0,44.7,0.483,National Assembly
Republic of Mali,Africa,Bamako,Assimi Goïta,+223,r,Unitary semi-presidential republic currently under a military junta,20250833.0,1240192.0,1.6,44329000000.0,17407000000.0,33.0,0.434,National Assembly
Islamic Republic of Mauritania,Africa,Nouakchott,Mohamed Ould Ghazouani,+222,r,Unitary semi-presidential Islamic republic,4403313.0,1030000.0,0.03,18117000000.0,5200000000.0,32.6,0.546,National Assembly
Republic of Mauritius,Africa,Port Louis,Prithvirajsing Roopun,+230,l,Unitary parliamentary constitutional republic,1265475.0,2040.0,0.07,31705000000.0,14812000000.0,36.8,0.804,National Assembly
Kingdom of Morocco,Africa,Rabat,Mohammed VI of Morocco,+212,r,Unitary parliamentary semi-constitutional monarchy,37112080.0,710850.0,0.056,332358000000.0,122458000000.0,40.3,0.686,Parliament
Republic of Mozambique,Africa,Maputo,Filipe Nyusi,+258,l,Unitary dominant-party semi-presidential constitutional republic,30066648.0,801590.0,2.2,41473000000.0,15372000000.0,45.7,0.456,Assembly of the Republic
Republic of Namibia,Africa,Windhoek,Hage Geingob,+264,l,Unitary dominant-party semi-presidential constitutional republic,2550226.0,825615.0,0.0,23855000000.0,10927000000.0,59.1,0.646,Parliament
Republic of the Niger,Africa,Niamey,Mohamed Bazoum,+227,r,Unitary semi-presidential republic,24112753.0,1267000.0,0.02,23475000000.0,9869000000.0,34.0,0.394,National Assembly
Federal Republic of Nigeria,Africa,Abuja,Muhammadu Buhari,+234,r,Federal presidential constitutional republic,211400708.0,923769.0,1.4,1116000000000.0,514049000000.0,35.1,0.539,National Assembly
Republic of Rwanda,Africa,Kigali,Paul Kagame,+250,r,Unitary dominant-party presidential constitutional republic,12374397.0,26338.0,5.3,33455000000.0,11061000000.0,43.7,0.543,Parliament
