country_name,currency
People's Democratic Republic of Algeria,Algerian dinar
Republic of Angola,Kwanza
Republic of Benin,West African CFA franc
Republic of Botswana,Pula
Burkina Faso,West African CFA franc
Republic of Burundi,Burundian franc
Republic of Cameroon,Central African CFA franc
Republic of Cabo Verde,Cape Verdean escudo
Central African Republic,Central African CFA franc
Republic of Chad,Central African CFA franc
Union of the Comoros,Comorian franc
Democratic Republic of the Congo,Congolese franc
Republic of the Congo,Central African CFA franc
Republic of Djibouti,Djiboutian franc
Arab Republic of Egypt,Egyptian pound
Republic of Equatorial Guinea,Central African CFA franc
State of Eritrea,Nakfa
Kingdom of Eswatini,Lilangeni
Kingdom of Eswatini,South African rand
Federal Democratic Republic of Ethiopia,Birr
Gabonese Republic,Central African CFA franc
Republic of The Gambia,Dalasi
Republic of Ghana,Cedi
Republic of Guinea,Guinean franc
Republic of Guinea-Bissau,West African CFA franc
Republic of Côte d'Ivoire,West African CFA franc
Republic of Kenya,Kenyan shilling
Kingdom of Lesotho,Loti
Republic of Liberia,Liberian dollar
State of Libya,Libyan dinar
Republic of Madagascar,Ariary
Republic of Malawi,Malawian kwacha
Republic of Mali,West African CFA franc
Islamic Republic of Mauritania,Ouguiya
Republic of Mauritius,Mauritian rupee
Kingdom of Morocco,Moroccan dirham
Republic of Mozambique,Metical
Republic of Namibia,Namibian dollar
Republic of the Niger,West African CFA franc
Federal Republic of Nigeria,Naira
Republic of Rwanda,Rwandan franc
Democratic Republic ofSão Tomé and Príncipe,Dobra
Republic of Senegal,West African CFA franc
Republic of Seychelles,Seychellois rupee
Republic of Sierra Leone,Leone
Federal Republic of Somalia,Somali shilling
Republic of South Africa,South African rand
Republic of South Sudan,South Sudanese pound
Republic of the Sudan,Sudanese pound
United Republic of Tanzania,Tanzanian shilling
Togolese Republic,West African CFA franc
Republic of Tunisia,Tunisian dinar
Republic of Uganda,Ugandan shilling
Republic of Zambia,Zambian kwacha
Republic of Zimbabwe,Zimbabwean dollar
Antigua and Barbuda,East Caribbean dollar
Commonwealth of The Bahamas,Bahamian dollar
Barbados,Barbadian dollar
Belize,Belize dollar
Canada,Canadian dollar
Republic of Costa Rica,Costa Rican colón
Republic of Cuba,Cuban peso
Commonwealth of Dominica,East Caribbean dollar
Dominican Republic,Dominican peso
Republic of El Salvador,United States dollar
Republic of El Salvador,Bitcoin
Grenada,East Caribbean dollar
Republic of Guatemala,Quetzal
Republic of Haiti,Gourde
Republic of Honduras,Lempira
Jamaica,Jamaican dollar
United Mexican States,Mexican peso
Republic of Nicaragua,Córdoba
Republic of Panama,Balboa
Republic of Panama,United States dollar
Federation of Saint Christopher and Nevis,East Caribbean dollar
Saint Lucia,East Caribbean dollar
Saint Vincent and the Grenadines,East Caribbean dollar
Republic of Trinidad and Tobago,Trinidad and Tobago dollar
United States of America,U.S. dollar
Islamic Emirate of Afghanistan,Afghani
Republic of Armenia,Dram
Republic of Azerbaijan,Manat
Kingdom of Bahrain,Bahraini dinar
People's Republic of Bangladesh,Taka
Kingdom of Bhutan,Ngultrum
"Nation of Brunei, the Abode of Peace",Brunei dollar
Kingdom of Cambodia,Riel
People's Republic of China,Renminbi
Republic of Cyprus,Euro
Georgia,Georgian lari
Republic of India,Indian rupee
Republic of Indonesia,Indonesian rupiah
Islamic Republic of Iran,Iranian rial
Republic of Iraq,Iraqi dinar
State of Israel,New shekel
Japan,Japanese yen
Hashemite Kingdom of Jordan,Jordanian dinar
Republic of Kazakhstan,Tenge
Democratic People'sRepublic of Korea,Korean People's won
Republic of Korea,Korean Republic won
State of Kuwait,Kuwaiti dinar
