name,country_name,birthdate,political_party,assumed_office
Abdelmadjid Tebboune,People's Democratic Republic of Algeria,1945-11-17,National Liberation Front,19 December 2019
João Lourenço,Republic of Angola,1954-03-05,People's Movement for the Liberation of Angola,26 September 2017
Patrice Talon,Republic of Benin,1958-05-01,Independent,6 April 2016
Mokgweetsi Masisi,Republic of Botswana,1962-07-21,Botswana Democratic Party,1 April 2018
Roch Marc Christian Kaboré,Burkina Faso,1957-04-25,Organization for Popular Democracy – Labour Movement,29 December 2015
Évariste Ndayishimiye,Republic of Burundi,,CNDD–FDD,18 June 2020
Paul Biya,Republic of Cameroon,1933-02-13,RDPC,6 November 1982
José Maria Neves,Republic of Cabo Verde,1960-03-28,African Party for the Independence of Cape Verde,9 November 2021
Faustin-Archange Touadéra,Central African Republic,1957-04-21,United Hearts Movement,30 March 2016
Mahamat Déby,Republic of Chad,1984-01-01,,20 April 2021
Azali Assoumani,Union of the Comoros,1959-01-01,Convention for the Renewal of the Comoros,26 May 2019
Félix Tshisekedi,Democratic Republic of the Congo,1963-06-13,Union for Democracy and Social Progress,24 January 2019
Denis Sassou Nguesso,Republic of the Congo,1943-11-23,Congolese Party of Labour,25 October 1997
Ismaïl Omar Guelleh,Republic of Djibouti,1947-11-27,People's Rally for Progress,8 May 1999
Abdel Fattah el-Sisi,Arab Republic of Egypt,1954-11-19,Independent,8 June 2014
Teodoro Obiang Nguema Mbasogo,Republic of Equatorial Guinea,1942-06-05,Democratic Party,3 August 1979
Isaias Afwerki,State of Eritrea,1946-02-02,People's Front for Democracy and Justice,24 May 1993
Cleopas Dlamini,Kingdom of Eswatini,,Independent,19 July 2021
Sahle-Work Zewde,Federal Democratic Republic of Ethiopia,1950-02-21,Independent,25 October 2018
Ali Bongo Ondimba,Gabonese Republic,1959-02-09,PDG,16 October 2009
Adama Barrow,Republic of The Gambia,1965-02-15,National People's Party,19 January 2017
Nana Akufo-Addo,Republic of Ghana,1944-03-29,New Patriotic Party,7 January 2017
Mamady Doumbouya,Republic of Guinea,,,1 October 2021
Umaro Sissoco Embaló,Republic of Guinea-Bissau,1972-09-23,Madem G15,27 February 2020
Alassane Ouattara,Republic of Côte d'Ivoire,1942-01-01,Democratic Party,4 December 2010
Uhuru Kenyatta,Republic of Kenya,1961-10-26,Kenya African National Union,9 April 2013
Letsie III of Lesotho,Kingdom of Lesotho,1963-07-17,,7 February 1996
George Weah,Republic of Liberia,1966-10-01,Congress for Democratic Change,22 January 2018
Mohamed al-Menfi,State of Libya,1976-03-03,,15 March 2021
Andry Rajoelina,Republic of Madagascar,1974-05-30,Young Malagasies Determined,19 January 2019
Lazarus McCarthy Chakwera,Republic of Malawi,1955-04-05,Malawi Congress Party,28 June 2020
Assimi Goïta,Republic of Mali,,,24 May 2021
Mohamed Ould Ghazouani,Islamic Republic of Mauritania,1956-12-04,Union for the Republic,1 August 2019
Prithvirajsing Roopun,Republic of Mauritius,1959-05-24,Militant Socialist Movement,2 December 2019
Mohammed VI of Morocco,Kingdom of Morocco,1963-08-21,,23 July 1999
Filipe Nyusi,Republic of Mozambique,1959-02-12,FRELIMO,15 January 2015
Hage Geingob,Republic of Namibia,1941-08-03,SWAPO,21 March 2015
Mohamed Bazoum,Republic of the Niger,1960-01-01,Nigerien Party for Democracy and Socialism,2 April 2021
Muhammadu Buhari,Federal Republic of Nigeria,1942-12-17,All Progressives Congress,30 May 2015
Paul Kagame,Republic of Rwanda,1957-10-23,Rwandan Patriotic Front,22 April 2000
Carlos Vila Nova,Democratic Republic ofSão Tomé and Príncipe,,ADI,2 October 2021
Macky Sall,Republic of Senegal,1961-12-11,Senegalese Democratic Party,2 April 2012
Wavel Ramkalawan,Republic of Seychelles,1959-03-15,Linyon Demokratik Seselwa,26 October 2020
Julius Maada Bio,Republic of Sierra Leone,1964-05-12,Sierra Leone People's Party,4 April 2018
Mohamed Abdullahi Mohamed,Federal Republic of Somalia,1962-03-11,citation needed,16 February 2017
