country_name,timezone
Algeria,UTC+1 (CET)
Angola,UTC+1 (WAT)
Benin,UTC+1 (WAT)
Botswana,Central Africa Time (GMT+2)
Burkina Faso,UTC  (GMT)
Burundi,UTC+2 (CAT)
Cameroon,UTC+1 (WAT)
Cape Verde,UTC–1 (not observed)
Cape Verde,UTC–1 (CVT)
Central African Republic,UTC+1 (WAT)
Chad,UTC+1 (WAT)
Comoros,UTC+3 (EAT)
Democratic Republic of the Congo,UTC+1 to +2 (WAT and CAT)
Republic of the Congo,UTC+1 (WAT)
Djibouti,UTC+3 (EAT)
Egypt,UTC+2 (EGY)
Equatorial Guinea,UTC+1 (WAT)
Eritrea,UTC+3 (EAT)
Eritrea,UTC+3 (not observed)
Eswatini,UTC+2 (SAST)
Ethiopia,UTC+3 (EAT)
Gabon,UTC+1 (WAT)
The Gambia,UTC  (GMT)
Ghana,UTC  (GMT)
Guinea,UTC  (GMT)
Guinea-Bissau,UTC  (GMT)
Ivory Coast,UTC  (GMT)
Kenya,UTC+3 (EAT)
Lesotho,UTC+2 (South African Standard Time)
Liberia,UTC  (GMT)
Libya,UTC+2 (EET)
Madagascar,UTC+3 (EAT)
Madagascar,UTC+3 (not observed)
Malawi,UTC+2 (CAT)
Mali,UTC  (GMT)
Mauritania,UTC  (GMT)
Mauritius,UTC+4 (MUT)
Morocco,UTC+1
Mozambique,UTC+2 (CAT)
Namibia,UTC+2 (CAST)
Niger,UTC+1 (WAT)
Nigeria,UTC+01:00 (WAT)
Rwanda,UTC+2 (CAT)
Sao Tome and Principe,UTC  (GMT)
Senegal,UTC  (GMT)
Seychelles,UTC+4 (not observed)
Seychelles,UTC+4 (SCT)
Sierra Leone,UTC  (GMT)
Somalia,UTC+3 (EAT)
South Africa,UTC+2 (SAST)
South Sudan,UTC+2 (Central Africa Time)
Sudan,UTC+2 (CAT)
Tanzania,UTC+3 (EAT)
Togo,UTC  (GMT)
Tunisia,UTC+1 (CET)
Uganda,UTC+3 (EAT)
Zambia,UTC+2 (CAT)
Zimbabwe,UTC+2 (CAT)
Antigua and Barbuda,UTC-4 (AST)
The Bahamas,UTC−5 (EST)
The Bahamas,UTC−4 (EDT)
Barbados,UTC−4 (AST)
Belize,UTC-6 (CST (GMT-6))
Canada,UTC−2.5 to −7
Canada,UTC−3.5 to −8
Costa Rica,UTC−6 (CST)
Cuba,UTC−4 (CDT)
Cuba,UTC−5 (CST)
Dominica,UTC–4 (AST)
Dominican Republic,UTC  – 4:00 (Atlantic Standard Time)
El Salvador,UTC−6 (CST)
Grenada,UTC−4 (AST)
Guatemala,UTC−6 (CST)
Haiti,UTC−5 (EST)
Haiti,UTC−4 (EDT)
Honduras,UTC−6 (CST)
Jamaica,UTC-5
Mexico,UTC−7 to −5 (varies)
Mexico,UTC−8 to −5 (See Time in Mexico)
Nicaragua,UTC−6 (CST)
Panama,UTC−5 (EST)
Saint Kitts and Nevis,UTC-4 (AST)
Saint Lucia,UTC−4 (AST)
Saint Vincent and the Grenadines,UTC-4 (AST)
Trinidad and Tobago,UTC-4 (AST)
United States, +10
United States, +11
United States,UTC−4 to −12
United States,UTC−4 to −10
Afghanistan,UTC+4:30Solar Calendar (D†)
Armenia,UTC+4 (AMT)
Azerbaijan,UTC+4 (AZT)
Bahrain,UTC+3 (AST)
Bangladesh,UTC+6 (BST)
Bhutan,UTC+06 (BTT)
Brunei,UTC+8 (Brunei Darussalam Time)
Cambodia,UTC+7 (ICT)
China,UTC+8 (China Standard Time)
Cyprus,UTC+2 (EET)
Cyprus,UTC+3 (EEST)
Georgia (country),UTC+4 (Georgia Time GET)
India,UTC+05:30 (IST)
Indonesia,UTC+7 to +9 (various)
Iran,UTC+3:30 (IRST)
Iran,UTC+4:30 (IRDT)
Iraq,UTC+3 (AST)
Israel,UTC+3 (IDT)
Israel,UTC+2 (IST)
Japan,UTC+09:00 (JST)
Jordan,UTC+2 (EET)
Jordan,UTC+3 (EEST)
Kazakhstan,UTC+5 / +6 (West / East)
North Korea,UTC+9 (Pyongyang Time)
South Korea,UTC+9 (Korea Standard Time)
Kuwait,UTC+3 (AST)
Kyrgyzstan,UTC+6 (KGT)
Laos,UTC+7 (ICT)
Lebanon,UTC+2 (EET)
Lebanon,UTC+3 (EEST)
Malaysia,UTC+8 (MST)
Maldives,UTC+5 (Maldives Time)
Mongolia,UTC+8/+9
Mongolia,UTC+7/+8
Myanmar,UTC+06:30 (MMT)
Nepal,UTC+05:45 (Nepal Standard Time)
Oman,UTC+4 (GST)
Pakistan,UTC+05:00 (PKT)
Philippines,UTC+08:00 (PST)
Qatar,UTC+3 (AST)
Russia,UTC+2 to +12
Saudi Arabia,UTC+3 (AST)
Singapore,UTC+8 (Singapore Standard Time)
Sri Lanka,UTC+5:30 (SLST)
Syria,UTC+2 (EET)
Syria,UTC+3 (EEST)
Tajikistan,UTC+5 (TJT)
Thailand,UTC+7 (ICT)
East Timor,UTC+9 (TLT)
Turkey,UTC+3 (TRT)
Turkmenistan,UTC+05 (TMT)
United Arab Emirates,UTC+04:00 (United Arab Emirates Standard Time)
Uzbekistan,UTC+5 (UZT)
Vietnam,UTC+07:00 (Vietnam Standard Time)
Yemen,UTC+3 (AST)
Argentina,UTC−3 (ART)
Bolivia,UTC−4 (BOT)
Brazil,UTC−2 to −5 (BRT)
Chile,UTC-3 and −5
Chile,UTC−4 and −6 (CLT and EASTc)
Colombia,UTC−5 (COT)
Ecuador,UTC−5 / −6 (ECT / GALT)
Guyana,UTC-4 (AST)
Paraguay,UTC–4 (PYT)
Paraguay,UTC–3 (PYST)
Peru,UTC−5 (PET)
Suriname,UTC-3 (SRT)
Uruguay,UTC−3 (UYT)
Venezuela,UTC−4 (VET)
Albania,UTC+1 (CET)
Albania,UTC+2 (CEST)
Andorra,UTC+01 (CET)
Andorra,UTC+02 (CEST)
Austria,UTC+1 (CET)
Austria,UTC+2 (CEST)
Belarus,UTC+3 (MSK)
Belgium,UTC+1 (CET)
Belgium,UTC+2 (CEST)
Bosnia and Herzegovina,UTC+01 (CET)
Bosnia and Herzegovina,UTC+02 (CEST)
Bulgaria,UTC+2 (EET)
Bulgaria,UTC+3 (EEST)
Croatia,UTC+1 (CET)
Croatia,UTC+2 (CEST)
Czech Republic,UTC+1 (CET)
Czech Republic,UTC+2 (CEST)
Denmark,UTC+1 (CET)
Denmark,UTC+2 (CEST)
Estonia,UTC+02:00 (EET)
Estonia,UTC+03:00 (EEST)
Finland,UTC+2 (EET)
Finland,UTC+3 (EEST)
France,UTC+1 (Central European Time)
France,UTC+2 (Central European Summer Time)
Germany,UTC+1 (CET)
Germany,UTC+2 (CEST)
Greece,UTC+02:00 (EET)
Greece,UTC+03:00 (EEST)
Hungary,UTC+1 (CET)
Hungary,UTC+2 (CEST)
Iceland,UTC (GMT/WET)
Republic of Ireland,UTC  (GMT)
Republic of Ireland,UTC+1 (IST)
Italy,UTC+1 (CET)
Italy,UTC+2 (CEST)
Latvia,UTC+2 (EET)
Latvia,UTC+3 (EEST)
Liechtenstein,UTC+01:00 (CET)
Liechtenstein,UTC+02:00 (CEST)
Lithuania,UTC+2 (EET)
Lithuania,UTC+3 (EEST)
Luxembourg,UTC+1 (CET)
Luxembourg,UTC+2 (CEST)
Malta,UTC+1 (Central European Time)
Malta,UTC+2 (Central European Summer Time)
Moldova,UTC+2 (EET)
Moldova,UTC+3 (EEST)
Monaco,UTC+1 (CET)
Monaco,UTC+2 (CEST)
Montenegro,UTC+1 (CET)
Montenegro,UTC+2 (CEST)
Netherlands,UTC+1 (CET)UTC−4 (AST)
Netherlands,UTC+2 (CEST)UTC−4 (AST)
North Macedonia,UTC+1 (CET)
North Macedonia,UTC+2 (CEST)
Norway,UTC+1 (CET)
Norway,UTC+2 (CEST)
Poland,UTC+1 (CET)
Poland,UTC+2 (CEST)
Portugal,UTC  (WET) UTC−1 (Atlantic/Azores)
Portugal,UTC+1 (WEST) UTC (Atlantic/Azores)
Romania,UTC+2 (EET)
Romania,UTC+3 (EEST)
San Marino,UTC+01 (CET)
San Marino,UTC+02 (CEST)
Serbia,UTC+1 (CET)
Serbia,UTC+2 (CEST)
Slovakia,UTC+1 (CET)
Slovakia,UTC+2 (CEST)
Slovenia,UTC+1 (CET)
Slovenia,UTC+2 (CEST)
Spain,UTC⁠±0 to +1 (WET and CET)
Spain,UTC+1 to +2 (WEST and CEST)
Sweden,UTC+1 (CET)
Sweden,UTC+2 (CEST)
Switzerland,UTC+1 (CET)
Switzerland,UTC+2 (CEST)
Ukraine,UTC+2 (EET)
Ukraine,UTC+3 (EEST)
United Kingdom, WEST)
United Kingdom,UTC+1 (British Summer Time
United Kingdom, WET)
United Kingdom,UTC  (Greenwich Mean Time
Australia,UTC+8; +9.5; +10; +10.5; +11 (Various)
Australia,UTC+8; +9.5; +10 (Various)
Federated States of Micronesia,UTC+10 and +11
Federated States of Micronesia,not observed
Fiji,UTC+13 (FJST)
Fiji,UTC+12 (FJT)
Kiribati,UTC+12
Kiribati, +13
Kiribati, +14
Marshall Islands,UTC+12 (MHT)
Nauru,UTC+12
New Zealand,UTC+12 (NZST)
New Zealand,UTC+13 (NZDT)
Palau,UTC+9 (PWT)
Papua New Guinea, +11 (AEST)
Papua New Guinea,UTC+10
Samoa,UTC+13c (WST)
Solomon Islands,UTC+11
Tonga,UTC+13
Tuvalu,UTC+12
Vanuatu,UTC+11 (VUT (Vanuatu Time))
